id,units
44_1_2013-04-11,0.0
44_2_2013-04-11,0.0
44_3_2013-04-11,0.0
44_4_2013-04-11,0.0
44_5_2013-04-11,25.578765955231443
44_6_2013-04-11,0.0
44_7_2013-04-11,0.0
44_8_2013-04-11,0.0
44_9_2013-04-11,0.0
44_10_2013-04-11,0.0
44_11_2013-04-11,0.0
44_12_2013-04-11,0.0
44_13_2013-04-11,0.0
44_14_2013-04-11,0.0
44_15_2013-04-11,0.0
44_16_2013-04-11,0.0
44_17_2013-04-11,0.0
44_18_2013-04-11,0.0
44_19_2013-04-11,0.0
44_20_2013-04-11,0.0
44_21_2013-04-11,0.0
44_22_2013-04-11,0.0
44_23_2013-04-11,0.0
44_24_2013-04-11,0.0
44_25_2013-04-11,0.0
44_26_2013-04-11,0.0
44_27_2013-04-11,0.0
44_28_2013-04-11,0.0
44_29_2013-04-11,0.0
44_30_2013-04-11,0.0
44_31_2013-04-11,0.0
44_32_2013-04-11,0.0
44_33_2013-04-11,0.0
44_34_2013-04-11,0.0
44_35_2013-04-11,0.0
44_36_2013-04-11,0.0
44_37_2013-04-11,0.0
44_38_2013-04-11,0.0
44_39_2013-04-11,0.0
44_40_2013-04-11,0.0
44_41_2013-04-11,0.0
44_42_2013-04-11,0.0
44_43_2013-04-11,0.0
44_44_2013-04-11,0.0
44_45_2013-04-11,0.0
44_46_2013-04-11,0.0
44_47_2013-04-11,0.0
44_48_2013-04-11,0.0
44_49_2013-04-11,0.0
44_50_2013-04-11,0.0
44_51_2013-04-11,0.0
44_52_2013-04-11,0.0
44_53_2013-04-11,0.0
44_54_2013-04-11,0.0
44_55_2013-04-11,0.0
44_56_2013-04-11,0.0
44_57_2013-04-11,0.0
44_58_2013-04-11,0.0
44_59_2013-04-11,0.0
44_60_2013-04-11,0.0
44_61_2013-04-11,0.0
44_62_2013-04-11,0.33258530046713175
44_63_2013-04-11,0.0
44_64_2013-04-11,0.0
44_65_2013-04-11,0.0
44_66_2013-04-11,0.0
44_67_2013-04-11,0.0
44_68_2013-04-11,50.61507357223234
44_69_2013-04-11,0.0
44_70_2013-04-11,0.0
44_71_2013-04-11,0.0
44_72_2013-04-11,0.0
44_73_2013-04-11,0.0
44_74_2013-04-11,0.0
44_75_2013-04-11,0.0
44_76_2013-04-11,0.0
44_77_2013-04-11,0.0
44_78_2013-04-11,0.0
44_79_2013-04-11,0.0
44_80_2013-04-11,0.0
44_81_2013-04-11,0.0
44_82_2013-04-11,0.0
44_83_2013-04-11,0.0
44_84_2013-04-11,0.0
44_85_2013-04-11,0.0
44_86_2013-04-11,0.0
44_87_2013-04-11,0.0
44_88_2013-04-11,0.0
44_89_2013-04-11,0.0
44_90_2013-04-11,0.0
44_91_2013-04-11,0.0
44_92_2013-04-11,0.0
44_93_2013-04-11,1.0984098678520948
44_94_2013-04-11,0.6391476529632805
44_95_2013-04-11,0.0
44_96_2013-04-11,0.0
44_97_2013-04-11,0.0
44_98_2013-04-11,0.0
44_99_2013-04-11,0.0
44_100_2013-04-11,0.0
44_101_2013-04-11,0.0
44_102_2013-04-11,0.0
44_103_2013-04-11,0.0
44_104_2013-04-11,0.0
44_105_2013-04-11,0.0
44_106_2013-04-11,0.0
44_107_2013-04-11,0.0
44_108_2013-04-11,0.0
44_109_2013-04-11,0.0
44_110_2013-04-11,0.0
44_111_2013-04-11,0.0
44_1_2013-04-12,0.0
44_2_2013-04-12,0.0
44_3_2013-04-12,0.0
44_4_2013-04-12,0.0
44_5_2013-04-12,35.01062155996784
44_6_2013-04-12,0.0
44_7_2013-04-12,0.0
44_8_2013-04-12,0.0
44_9_2013-04-12,0.0
44_10_2013-04-12,0.0
44_11_2013-04-12,0.0
44_12_2013-04-12,0.0
44_13_2013-04-12,0.0
44_14_2013-04-12,0.0
